Probe;Cycle;GPSDate;moving_average(Speed);moving_average(EngineSpeed);moving_average(Torque);moving_average(FuelRate)
100001.0;3.0;1.210738146E12;8.5;998.4;18.8;11.48
100001.0;3.0;1.210738148E12;11.1;1126.4;19.3;11.32
100001.0;3.0;1.21073815E12;13.6;1251.2;20.0;10.8
100001.0;3.0;1.210738152E12;15.8;1344.0;20.5;12.120000000000001
100001.0;3.0;1.210738154E12;17.6;1417.6;19.5;9.16
100001.0;3.0;1.210738156E12;18.5;1488.0;19.0;9.16
100001.0;3.0;1.210738158E12;20.0;1625.6;20.6;11.84
100001.0;3.0;1.21073816E12;22.6;1724.8;21.6;12.12
100001.0;3.0;1.210738162E12;25.1;1817.6;21.6;11.6
100001.0;3.0;1.210738164E12;26.2;1824.0;21.1;9.72
100001.0;3.0;1.210738165E12;26.0;1801.6;20.8;6.44
100001.0;3.0;1.210738167E12;24.7;1696.0;20.3;6.68
100001.0;3.0;1.210738169E12;23.4;1574.4;19.4;7.159999999999999
100001.0;3.0;1.210738171E12;21.9;1478.4;18.5;6.319999999999999
100001.0;3.0;1.210738173E12;20.1;1372.8;18.3;6.4799999999999995
100001.0;3.0;1.210738175E12;18.0;1260.8;18.1;5.759999999999999
100001.0;3.0;1.210738177E12;15.0;1084.8;16.6;3.56
100001.0;3.0;1.210738179E12;11.3;1020.8;16.6;3.0000000000000004
100001.0;3.0;1.210738182E12;7.9;934.4;15.5;3.4
100001.0;3.0;1.210738184E12;5.6;905.6;15.6;3.8800000000000003
100001.0;3.0;1.210738186E12;4.0;816.0;16.5;7.76
100001.0;3.0;1.210738188E12;2.7;713.6;15.7;7.2
100001.0;3.0;1.21073819E12;1.5;636.8;14.3;6.719999999999999
100001.0;3.0;1.210738192E12;0.8;560.0;12.9;6.239999999999999
100001.0;3.0;1.210738194E12;0.3;480.0;11.5;5.76
100001.0;3.0;1.210738197E12;0.0;400.0;10.1;5.279999999999999
100001.0;3.0;1.210738199E12;0.0;320.0;8.7;4.8
100001.0;3.0;1.210738201E12;0.0;198.4;6.3;4.8
100001.0;3.0;1.210738203E12;0.0;115.2;5.0;4.4
100001.0;3.0;1.210738205E12;0.0;38.4;3.6;3.88
100001.0;3.0;1.210738207E12;0.0;0.0;0.6;0.0
100001.0;3.0;1.210738209E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210738212E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210738214E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210738216E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210738218E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.21073822E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210738222E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210738224E12;0.0;0.0;0.0;0.0
100001.0;4.0;1.210739166E12;0.0;76.8;1.5;0.8
100001.0;4.0;1.210739168E12;0.0;156.8;3.0;1.52
100001.0;4.0;1.21073917E12;0.0;236.8;4.5;2.2
100001.0;4.0;1.210739172E12;0.0;316.8;6.0;2.84
100001.0;4.0;1.210739174E12;0.0;396.8;8.3;5.32
100001.0;4.0;1.210739176E12;0.0;524.8;9.8;5.5600000000000005
100001.0;4.0;1.210739178E12;0.2;601.6;11.4;6.56
100001.0;4.0;1.21073918E12;0.6;684.8;12.8;7.239999999999999
